"ipm_id"	"env_variable"	"vr_expr_name"	"env_range"	"env_function"	"model_type"
"aaa327"	"Soil_potassium/100g_Soil"	"z_low"	"9"	"NULL"	"Parameter"
"aaa327"	"Soil_potassium/100g_Soil"	"z_high"	"72.599999999999994"	"NULL"	"Parameter"
"aaa327"	"Soil_potassium/100g_Soil"	"Z"	"9.0;72.6"	"Unif(z_low, z_high)"	"Substituted"
"aaa327"	"Proportion_Fruit_Exposed_to_Predation"	"pred_low"	"0"	"NULL"	"Parameter"
"aaa327"	"Proportion_Fruit_Exposed_to_Predation"	"pred_high"	"0.56999999999999995"	"NULL"	"Parameter"
"aaa327"	"Proportion_Fruit_Exposed_to_Predation"	"PRED"	"0;0.57"	"Unif(pred_low, pred_high)"	"Substituted"
"aaa334"	"Density"	"dens_low"	"0"	"NULL"	"Parameter"
"aaa334"	"Density"	"dens_high"	"1"	"NULL"	"Parameter"
"aaa334"	"Density"	"dens"	NA	"Unif(dens_low, dens_high)"	"Substituted"
"aaaa15"	"LightLevel"	"j"	"NULL"	"sample(j_seq)"	"Substituted"
"aaaa15"	"LightLevel"	"j_seq"	"1:5"	"NULL"	"Parameter"
"aaaa15"	"A_max"	"A_max"	"NULL"	"Unif(a_max_low, a_max_high)"	"Substituted"
"aaaa15"	"A_max"	"a_max_low"	"5"	"NULL"	"Parameter"
"aaaa15"	"A_max"	"a_max_high"	"7"	"NULL"	"Parameter"
"aaaa16"	"LightLevel"	"j"	"NULL"	"sample(j_seq)"	"Substituted"
"aaaa16"	"LightLevel"	"j_seq"	"1:5"	"NULL"	"Parameter"
"aaaa16"	"A_max"	"A_max"	"NULL"	"Unif(a_max_low, a_max_high)"	"Substituted"
"aaaa16"	"A_max"	"a_max_low"	"5"	"NULL"	"Parameter"
"aaaa16"	"A_max"	"a_max_high"	"8"	"NULL"	"Parameter"
"aaaa21"	"rain"	"rain"	"NULL"	"Unif(rain_low, rain_high)"	"Substituted"
"aaaa21"	"rain"	"rain_low"	"19.399999999999999"	"NULL"	"Parameter"
"aaaa21"	"rain"	"rain_high"	"84"	"NULL"	"Parameter"
"aaaa54"	"SurvivalIntercept"	"m0_mu"	"-2.2799999999999998"	"NULL"	"Parameter"
"aaaa54"	"SurvivalIntercept"	"m0_sd"	"1.1599999999999999"	"NULL"	"Parameter"
"aaaa54"	"SurvivalSlope"	"m1_mu"	"0.9"	"NULL"	"Parameter"
